City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,27.4,72,100,9.53,CC,1733449371
1,chelno-vershiny,54.4333,51.1,-6.28,86,6,2.26,RU,1733449373
2,adamstown,-25.066,-130.1015,23.32,78,100,7.1,PN,1733449374
3,namibe,-15.1961,12.1522,22.4,85,100,1.54,AO,1733449375
4,papatowai,-46.5619,169.4708,15.54,79,100,6.34,NZ,1733449376
5,port-aux-francais,-49.35,70.2167,3.18,85,100,23.68,TF,1733449378
6,qaqortoq,60.7167,-46.0333,-16.75,80,1,2.73,GL,1733449379
7,pa daet,19.5049,99.9924,24.71,76,7,1.16,TH,1733449380
8,nogliki,51.8333,143.1667,-16.09,88,100,6.87,RU,1733449381
9,edinburgh of the seven seas,-37.0676,-12.3116,15.08,80,9,11.35,SH,1733449382
10,longyearbyen,78.2186,15.6401,-6.09,68,20,10.29,SJ,1733449384
11,amble,55.3333,-1.5833,7.08,70,1,14.4,GB,1733449385
12,ribeira grande,38.5167,-28.7,19.87,90,100,6.71,PT,1733449386
13,richards bay,-28.783,32.0377,22.71,86,75,5.54,ZA,1733449387
14,lib,8.3122,167.3766,28.23,84,13,10.38,MH,1733449389
15,boise,43.6135,-116.2035,-1.66,100,100,0.0,US,1733449390
16,coquimbo,-29.9533,-71.3436,14.85,75,0,3.6,CL,1733449255
17,grootfontein,-19.5667,18.1167,22.76,33,4,2.06,NA,1733449392
18,lazaro cardenas,17.9583,-102.2,25.29,80,96,0.37,MX,1733449393
19,anadyr,64.75,177.4833,-23.72,76,64,4.0,RU,1733449395
20,bethel,41.3712,-73.414,1.08,57,2,1.79,US,1733449396
21,grytviken,-54.2811,-36.5092,-0.57,72,98,4.6,GS,1733449397
22,timmins,48.4669,-81.3331,-10.1,73,100,7.2,CA,1733449146
23,hamilton,39.1834,-84.5333,-6.06,69,20,4.92,US,1733448851
24,margaret river,-33.95,115.0667,20.09,49,0,5.21,AU,1733449401
25,talnakh,69.4865,88.3972,-20.08,98,100,2.86,RU,1733449402
26,waitangi,-43.9535,-176.5597,14.34,80,70,4.92,NZ,1733449403
27,nsanje,-16.92,35.262,24.88,73,100,0.3,MW,1733449405
28,talcahuano,-36.7167,-73.1167,12.82,94,20,2.06,CL,1733449406
29,invercargill,-46.4,168.35,15.57,83,100,7.15,NZ,1733449407
30,wailua homesteads,22.0669,-159.378,21.59,95,100,5.14,US,1733449408
31,korla,41.7597,86.1469,-2.99,71,0,0.99,CN,1733449410
32,blackmans bay,-43.0167,147.3167,21.4,73,98,0.45,AU,1733449411
33,saipan,15.1355,145.701,31.39,83,0,5.66,MP,1733449175
34,aoulef,26.9667,1.0833,12.85,37,0,4.74,DZ,1733449413
35,thunder bay,48.4001,-89.3168,-11.01,73,75,3.6,CA,1733449414
36,kodiak,57.79,-152.4072,2.73,100,100,3.09,US,1733449416
37,alice springs,-23.7,133.8833,35.75,34,20,2.57,AU,1733449417
38,batticaloa,7.7102,81.6924,26.09,83,100,3.08,LK,1733449418
39,stanley,54.868,-1.6985,5.85,78,24,10.29,GB,1733449419
40,marquelia,16.5833,-98.8167,24.94,78,99,1.21,MX,1733449421
41,tiksi,71.6872,128.8694,-25.68,97,64,3.03,RU,1733449422
42,bikenibeu village,1.3673,173.1241,31.98,66,75,8.23,KI,1733449423
43,mount pearl,47.5166,-52.7813,3.86,82,100,12.86,CA,1733449424
44,tura,25.5198,90.2201,17.54,68,0,0.78,IN,1733449426
45,christchurch,-43.5333,172.6333,20.11,52,8,2.06,NZ,1733448721
46,saint-francois,46.4154,3.9054,11.34,94,75,5.14,FR,1733449428
47,avarua,-21.2078,-159.775,27.03,69,75,4.63,CK,1733449429
48,hermanus,-34.4187,19.2345,16.21,78,68,5.25,ZA,1733449431
49,plesetsk,62.708,40.2916,-9.12,94,49,3.44,RU,1733449432
50,fada n'gourma,12.0622,0.3578,20.72,19,100,3.69,BF,1733449433
51,aroma,15.8167,36.1333,22.25,85,1,3.62,SD,1733449434
52,paro,27.4305,89.4133,6.67,69,1,0.42,BT,1733449435
53,mamou,10.5,-12.0,17.89,24,100,1.92,GN,1733449437
54,cidreira,-30.1811,-50.2056,20.93,91,4,8.2,BR,1733449438
55,nova sintra,14.8667,-24.7167,26.44,68,98,2.59,CV,1733449439
56,goya,-29.14,-59.2626,25.13,87,75,3.29,AR,1733449206
57,cooper's town,26.8667,-77.5167,20.76,69,99,1.76,BS,1733449441
58,aromashevo,56.8602,68.6375,-5.9,93,90,5.2,RU,1733449443
59,fale old settlement,-9.3852,-171.2468,28.56,69,6,2.94,TK,1733449444
60,mogocha,53.7333,119.7667,-17.36,77,16,1.3,RU,1733449445
61,lihue,21.9789,-159.3672,21.92,94,100,5.14,US,1733449446
62,nouadhibou,20.931,-17.0347,23.99,33,100,7.72,MR,1733449449
63,port elizabeth,-33.918,25.5701,18.51,82,0,2.57,ZA,1733449450
64,miyaly,48.8844,53.7836,-4.19,88,17,3.05,KZ,1733449451
65,isafjordur,66.0755,-23.124,-4.08,93,100,4.39,IS,1733449452
66,alofi,-19.0595,-169.9187,27.94,69,100,5.14,NU,1733449454
67,iskateley,67.6803,53.1512,-3.78,85,100,9.31,RU,1733449455
